iter	RMSE
0	17.70334782
1	17.30576566
2	16.91637984
3	16.52675448
4	16.17150306
5	15.81206771
6	15.45423263
7	15.12463496
8	14.78988259
9	14.51714533
10	14.18908557
11	13.90742664
12	13.64125344
13	13.38941816
14	13.1331448
15	12.86427412
16	12.5927658
17	12.35252709
18	12.09624642
19	11.82545901
20	11.57424808
21	11.38075599
22	11.18548238
23	10.93389134
24	10.70489121
25	10.49837144
26	10.29705598
27	10.1028545
28	9.891053013
29	9.697900118
30	9.511593527
31	9.323619077
32	9.137112009
33	8.989208561
34	8.825089212
35	8.650008859
36	8.512591452
37	8.358051084
38	8.197779577
39	8.051684613
40	7.889924131
41	7.733293135
42	7.572219569
43	7.430129375
44	7.295452886
45	7.160564566
46	7.028180389
47	6.901379085
48	6.785256584
49	6.667998467
50	6.563109996
51	6.459450986
52	6.362019602
53	6.257626627
54	6.145001702
55	6.053403279
56	5.966305769
57	5.864788653
58	5.763889003
59	5.669658566
60	5.580031601
61	5.492958378
62	5.395243833
63	5.301137821
64	5.222311257
65	5.138721559
66	5.059954596
67	4.971038429
68	4.893205019
69	4.817170157
70	4.749066972
71	4.673323872
72	4.604611521
73	4.531932715
74	4.471313318
75	4.402201632
76	4.330093761
77	4.262841975
78	4.207436209
79	4.149476196
80	4.089468795
81	4.028554168
82	3.972290672
83	3.917928989
84	3.867823501
85	3.808512655
86	3.751115113
87	3.699802246
88	3.659929912
89	3.618918692
90	3.573771782
91	3.526504495
92	3.477575344
93	3.432680916
94	3.391665942
95	3.357626254
96	3.317888972
97	3.279190254
98	3.24127472
99	3.201205248
100	3.159139107
101	3.117528883
102	3.080083378
103	3.047723103
104	3.012436366
105	2.972651666
106	2.934813984
107	2.899277201
108	2.865180181
109	2.830746195
110	2.796083109
111	2.767103389
112	2.735316327
113	2.705836713
114	2.677099397
115	2.649061591
116	2.619793492
117	2.595738425
118	2.566489779
119	2.542235676
120	2.521224668
121	2.495193485
122	2.469025153
123	2.443016179
124	2.421125813
125	2.395235687
126	2.372532528
127	2.348301173
128	2.323441324
129	2.303962714
130	2.283100866
131	2.25690821
132	2.238308653
133	2.219551911
134	2.193292695
135	2.17437991
136	2.155316281
137	2.132745427
138	2.111630069
139	2.092330565
140	2.070659251
141	2.05285195
142	2.035855299
143	2.015878201
144	2.000268148
145	1.982835597
146	1.963730269
147	1.945358984
148	1.931348693
149	1.916640225
150	1.899322237
151	1.889686514
152	1.872241468
153	1.854472963
154	1.843431538
155	1.836283138
156	1.821440274
157	1.804288139
158	1.791842017
159	1.784926983
160	1.771349969
161	1.75686697
162	1.744026448
163	1.725985198
164	1.715649663
165	1.702677623
166	1.689280146
167	1.67499015
168	1.660996967
169	1.652874607
170	1.640640009
171	1.627809382
172	1.621066947
173	1.614525488
174	1.605653373
175	1.595210539
176	1.581904164
177	1.568554659
178	1.554873572
179	1.549236872
180	1.539722927
181	1.531701488
182	1.521795365
183	1.512311244
184	1.504118634
185	1.49221437
186	1.481413151
187	1.476724089
188	1.471441922
189	1.464779046
190	1.456966559
191	1.451293662
192	1.440440223
193	1.429897893
194	1.421957396
195	1.417753728
196	1.404941178
197	1.397194386
198	1.387847221
199	1.383305421
200	1.370349293
201	1.359670196
202	1.348871328
203	1.344611358
204	1.338137405
205	1.329305989
206	1.320398643
207	1.315703856
208	1.305090788
209	1.299873553
210	1.294584537
211	1.289928354
212	1.285726179
213	1.276956548
214	1.272580663
215	1.268918217
216	1.265300227
217	1.257360061
218	1.251842924
219	1.247799579
220	1.243385133
221	1.230427371
222	1.226261772
223	1.220152642
224	1.215213135
225	1.210160363
226	1.200357383
227	1.197272278
228	1.193330256
229	1.184777308
230	1.176584074
231	1.173147122
232	1.16920141
233	1.159808461
234	1.153635498
235	1.15100279
236	1.147567766
237	1.139821225
238	1.134973582
239	1.131072215
240	1.124147638
241	1.117905163
242	1.112435415
243	1.107669009
244	1.104250814
245	1.101265205
246	1.097938421
247	1.091556582
248	1.088903844
249	1.086558243
250	1.078023917
251	1.071555929
252	1.068834137
253	1.065222108
254	1.062918311
255	1.05774085
256	1.048261789
257	1.045108312
258	1.036090256
259	1.026957431
260	1.024229187
261	1.020398252
262	1.014255774
263	1.006276958
264	0.998750858
265	0.9940166201
266	0.988790686
267	0.9863271159
268	0.9841522116
269	0.9815457468
270	0.9749304091
271	0.9683565995
272	0.9618417436
273	0.9577417872
274	0.9546303577
275	0.9470945188
276	0.9445818845
277	0.9356252107
278	0.9313532816
279	0.9288640551
280	0.9266118415
281	0.9207178682
282	0.9181689086
283	0.9162637708
284	0.9142588474
285	0.9122100086
286	0.9067413801
287	0.9048808743
288	0.8986353618
289	0.8915438339
290	0.8857528929
291	0.8789170113
292	0.8727072967
293	0.8686506356
294	0.8668715233
295	0.863051276
296	0.8612104098
297	0.8593955402
298	0.8526854947
299	0.8490897871
300	0.845773717
301	0.8390754027
302	0.8374563813
303	0.8360635659
304	0.833386751
305	0.8260554415
306	0.8221193456
307	0.8204905014
308	0.8153420134
309	0.8136879876
310	0.8085218878
311	0.8073174016
312	0.8026522196
313	0.7961549273
314	0.7906070514
315	0.7847091178
316	0.7789288809
317	0.7721161265
318	0.7670772875
319	0.7623055439
320	0.7575989658
321	0.7562229444
322	0.7517658907
323	0.7484027271
324	0.7473203026
325	0.74596232
326	0.7404179255
327	0.7380383067
328	0.7348576076
329	0.7318629527
330	0.7274165794
331	0.7247137289
332	0.7236603482
333	0.7224327111
334	0.7211866218
335	0.7173020654
336	0.7126725276
337	0.7115052167
338	0.7086525422
339	0.7039079883
340	0.7027017006
341	0.6981628538
342	0.697210061
343	0.6961073984
344	0.6916794874
345	0.6893493581
346	0.6869392678
347	0.6833233189
348	0.6823053687
349	0.6782754938
350	0.6727412127
351	0.668566212
352	0.6642551816
353	0.6595845213
354	0.6565959881
355	0.6518699155
356	0.6473300263
357	0.6463328121
358	0.6454534727
359	0.6415661256
360	0.6407990103
361	0.6378181745
362	0.6365467501
363	0.6353055136
364	0.6313031378
365	0.6267643354
366	0.6255598803
367	0.6215193398
368	0.620676194
369	0.6163253345
370	0.6155012343
371	0.6120282788
372	0.6109026201
373	0.6085099431
374	0.6045887804
375	0.6007083952
376	0.597206038
377	0.5944351988
378	0.5916747696
379	0.5908868052
380	0.5901097852
381	0.5871386192
382	0.5838424195
383	0.5795901971
384	0.5787839233
385	0.574643638
386	0.5716552732
387	0.568288199
388	0.5643314935
389	0.5633746605
390	0.5602602895
391	0.557073935
392	0.5542747228
393	0.5514694842
394	0.5495038184
395	0.5488077241
396	0.548170649
397	0.5453322282
398	0.5415030156
399	0.5373412732
400	0.5366278079
401	0.5338746994
402	0.5313095529
403	0.5286266325
404	0.526472905
405	0.5258141206
