iter	Passed	Remaining
0	7	7913
1	11	5794
2	15	5086
3	19	4877
4	23	4727
5	27	4598
6	31	4441
7	34	4337
8	38	4261
9	42	4217
10	46	4165
11	50	4119
12	53	4073
13	57	4065
14	61	4035
15	64	3995
16	68	3965
17	72	3945
18	76	3960
19	80	3937
20	84	3930
21	87	3909
22	91	3886
23	95	3867
24	98	3844
25	102	3832
26	105	3818
27	109	3802
28	113	3787
29	116	3776
30	120	3761
31	123	3750
32	127	3743
33	131	3731
34	135	3724
35	138	3712
36	142	3701
37	145	3693
38	149	3683
39	153	3682
40	157	3675
41	160	3668
42	164	3660
43	168	3650
44	171	3643
45	175	3635
46	178	3627
47	182	3618
48	186	3614
49	189	3607
50	193	3598
51	197	3593
52	200	3586
53	204	3578
54	208	3574
55	212	3575
56	215	3572
57	219	3569
58	223	3564
59	227	3562
60	231	3555
61	234	3550
62	238	3544
63	241	3536
64	245	3535
65	249	3529
66	253	3524
67	256	3518
68	260	3512
69	264	3508
70	267	3505
71	271	3500
72	275	3495
73	279	3494
74	283	3490
75	286	3485
76	290	3479
77	293	3474
78	297	3469
79	301	3465
80	305	3460
81	308	3457
82	312	3451
83	315	3445
84	319	3440
85	323	3435
86	326	3430
87	330	3424
88	334	3418
89	337	3413
90	341	3407
91	344	3402
92	348	3397
93	351	3392
94	355	3387
95	359	3381
96	362	3377
97	366	3371
98	369	3366
99	373	3360
100	376	3354
101	380	3351
102	384	3347
103	388	3343
104	391	3338
105	395	3337
106	399	3335
107	403	3332
108	407	3328
109	410	3325
110	414	3323
111	418	3319
112	422	3315
113	426	3310
114	429	3307
115	433	3304
116	437	3300
117	441	3296
118	444	3293
119	448	3290
120	452	3287
121	456	3283
122	459	3279
123	463	3277
124	467	3275
125	471	3271
126	475	3267
127	478	3262
128	482	3259
129	486	3255
130	490	3250
131	493	3247
132	497	3243
133	501	3239
134	505	3236
135	508	3232
136	512	3229
137	516	3225
138	520	3221
139	523	3217
140	527	3213
141	531	3210
142	535	3206
143	538	3201
144	542	3197
145	545	3193
146	549	3189
147	553	3186
148	557	3183
149	561	3180
150	565	3176
151	569	3175
152	573	3173
153	577	3171
154	581	3167
155	584	3164
156	589	3162
157	593	3161
158	597	3159
159	601	3157
160	605	3153
161	609	3150
162	612	3146
163	616	3143
164	620	3139
165	624	3136
166	628	3133
167	632	3131
168	636	3130
169	642	3135
170	647	3136
171	652	3139
172	659	3150
173	664	3153
174	668	3153
175	673	3153
176	678	3153
177	682	3152
178	686	3150
179	691	3148
180	695	3147
181	699	3145
182	704	3144
183	709	3144
184	715	3150
185	723	3164
186	728	3168
187	734	3170
188	738	3167
189	742	3167
190	747	3167
191	752	3165
192	756	3165
193	762	3167
194	767	3166
195	771	3164
196	776	3164
197	780	3163
198	785	3160
199	790	3160
200	794	3157
201	798	3156
202	803	3152
203	807	3151
204	812	3149
205	816	3146
206	820	3143
207	825	3144
208	830	3143
209	834	3140
210	839	3137
211	843	3134
212	845	3125
213	850	3122
214	854	3119
215	858	3117
216	862	3113
217	867	3110
218	871	3106
219	875	3103
220	879	3099
221	883	3095
222	887	3092
223	891	3087
224	895	3083
225	899	3079
226	902	3074
227	906	3070
228	910	3066
229	914	3063
230	919	3060
231	923	3058
232	928	3057
233	933	3055
234	938	3054
235	942	3051
236	946	3047
237	950	3044
238	954	3039
239	958	3035
240	962	3031
241	966	3027
242	970	3022
243	973	3017
244	977	3013
245	981	3009
246	985	3004
247	989	2999
248	992	2994
249	996	2989
250	1000	2984
251	1004	2980
252	1007	2975
253	1011	2970
254	1015	2966
255	1017	2955
256	1020	2950
257	1024	2945
258	1027	2941
259	1031	2935
260	1035	2930
261	1038	2925
262	1042	2921
263	1045	2916
264	1049	2911
265	1053	2906
266	1057	2903
267	1061	2898
268	1065	2894
269	1069	2890
270	1073	2886
271	1076	2882
272	1080	2878
273	1082	2868
274	1086	2865
275	1090	2860
276	1094	2855
277	1097	2850
278	1101	2846
279	1104	2838
280	1107	2834
281	1111	2830
282	1115	2825
283	1118	2821
284	1122	2816
285	1126	2811
286	1129	2806
287	1133	2801
288	1137	2797
289	1141	2794
290	1145	2790
291	1149	2786
292	1152	2782
293	1156	2777
294	1160	2773
295	1164	2768
296	1167	2764
297	1171	2759
298	1175	2754
299	1179	2751
300	1182	2746
301	1186	2742
302	1190	2737
303	1193	2733
304	1197	2728
305	1201	2724
306	1205	2720
307	1209	2716
308	1212	2711
309	1216	2707
310	1220	2703
311	1222	2696
312	1226	2691
313	1230	2687
314	1233	2682
315	1237	2678
316	1241	2674
317	1244	2669
318	1248	2665
319	1252	2661
320	1256	2657
321	1259	2652
322	1262	2646
323	1266	2641
324	1267	2633
325	1271	2629
326	1275	2624
327	1278	2620
328	1282	2615
329	1286	2611
330	1290	2607
331	1293	2603
332	1297	2598
333	1300	2594
334	1304	2589
335	1308	2585
336	1312	2581
337	1315	2577
338	1319	2573
339	1323	2569
340	1327	2566
341	1331	2561
342	1335	2557
343	1338	2553
344	1342	2549
345	1346	2545
346	1350	2541
347	1353	2536
348	1357	2532
349	1361	2527
350	1364	2523
351	1368	2519
352	1372	2514
353	1375	2510
354	1379	2505
355	1384	2504
356	1388	2500
357	1392	2496
358	1396	2492
359	1399	2488
360	1403	2483
361	1406	2479
362	1410	2475
363	1414	2471
364	1418	2467
365	1421	2463
366	1425	2458
367	1429	2454
368	1432	2449
369	1436	2446
370	1440	2441
371	1443	2437
372	1447	2432
373	1450	2428
374	1454	2424
375	1458	2419
376	1461	2415
377	1465	2410
378	1468	2406
379	1472	2402
380	1476	2398
381	1479	2393
382	1483	2389
383	1487	2385
384	1490	2381
385	1494	2376
386	1497	2372
387	1501	2368
388	1505	2364
389	1508	2359
390	1512	2356
391	1516	2352
392	1521	2349
393	1525	2345
394	1528	2341
395	1532	2337
396	1536	2333
397	1540	2329
398	1543	2325
399	1547	2321
400	1551	2317
401	1555	2313
402	1558	2309
403	1562	2305
404	1567	2302
405	1571	2298
406	1574	2294
407	1578	2290
408	1582	2286
409	1586	2282
410	1590	2279
411	1594	2275
412	1598	2272
413	1602	2268
414	1606	2264
415	1610	2260
416	1614	2256
417	1618	2253
418	1622	2249
419	1626	2245
420	1629	2241
421	1633	2237
422	1637	2233
423	1641	2229
424	1645	2226
425	1649	2222
426	1653	2218
427	1656	2214
428	1661	2210
429	1664	2206
430	1668	2202
431	1672	2198
432	1676	2195
433	1680	2191
434	1683	2186
435	1687	2182
436	1690	2178
437	1695	2174
438	1699	2171
439	1702	2167
440	1707	2163
441	1710	2159
442	1714	2156
443	1718	2152
444	1722	2148
445	1726	2144
446	1730	2140
447	1734	2136
448	1738	2132
449	1741	2128
450	1745	2124
451	1749	2120
452	1752	2116
453	1756	2112
454	1760	2108
455	1764	2104
456	1768	2100
457	1772	2097
458	1776	2093
459	1779	2089
460	1783	2085
461	1787	2081
462	1790	2077
463	1794	2073
464	1798	2069
465	1802	2064
466	1805	2060
467	1809	2056
468	1813	2052
469	1816	2048
470	1820	2044
471	1824	2040
472	1827	2036
473	1831	2032
474	1835	2028
475	1839	2024
476	1842	2020
477	1846	2016
478	1849	2012
479	1853	2008
480	1857	2004
481	1861	2000
482	1864	1996
483	1868	1992
484	1872	1988
485	1878	1986
486	1882	1982
487	1886	1979
488	1890	1975
489	1894	1971
490	1897	1967
491	1901	1963
492	1905	1959
493	1909	1955
494	1912	1951
495	1916	1947
496	1920	1943
497	1923	1939
498	1927	1935
499	1931	1931
500	1935	1927
501	1938	1923
502	1942	1919
503	1946	1915
504	1949	1911
505	1953	1907
506	1957	1903
507	1960	1899
508	1964	1895
509	1968	1891
510	1972	1887
511	1976	1883
512	1979	1879
513	1983	1875
514	1987	1871
515	1991	1867
516	1995	1863
517	1999	1860
518	2003	1856
519	2006	1852
520	2010	1848
521	2014	1844
522	2018	1840
523	2023	1838
524	2027	1834
525	2030	1830
526	2034	1825
527	2038	1822
528	2041	1817
529	2045	1813
530	2049	1810
531	2053	1806
532	2057	1803
533	2061	1799
534	2065	1795
535	2069	1791
536	2073	1787
537	2077	1783
538	2081	1780
539	2085	1776
540	2088	1772
541	2092	1768
542	2096	1764
543	2100	1760
544	2104	1757
545	2108	1753
546	2112	1749
547	2115	1745
548	2119	1741
549	2123	1737
550	2126	1733
551	2130	1729
552	2134	1725
553	2138	1721
554	2142	1717
555	2146	1713
556	2149	1709
557	2153	1705
558	2157	1701
559	2160	1697
560	2164	1694
561	2168	1690
562	2172	1686
563	2175	1682
564	2179	1678
565	2183	1674
566	2186	1669
567	2190	1665
568	2193	1661
569	2197	1657
570	2201	1653
571	2205	1649
572	2208	1645
573	2212	1641
574	2216	1638
575	2219	1633
576	2223	1630
577	2227	1626
578	2230	1622
579	2234	1618
580	2238	1614
581	2241	1610
582	2245	1606
583	2248	1602
584	2252	1598
585	2256	1594
586	2260	1590
587	2264	1586
588	2268	1582
589	2272	1579
590	2276	1575
591	2280	1571
592	2284	1567
593	2287	1563
594	2291	1559
595	2295	1555
596	2298	1551
597	2302	1547
598	2306	1543
599	2309	1539
600	2314	1536
601	2317	1532
602	2321	1528
603	2325	1524
604	2329	1520
605	2333	1516
606	2336	1512
607	2340	1509
608	2344	1505
609	2348	1501
610	2351	1497
611	2355	1493
612	2359	1489
613	2362	1485
614	2366	1481
615	2371	1478
616	2375	1474
617	2379	1470
618	2382	1466
619	2386	1462
620	2390	1458
621	2393	1454
622	2397	1450
623	2401	1446
624	2405	1443
625	2409	1439
626	2412	1435
627	2416	1431
628	2420	1427
629	2423	1423
630	2427	1419
631	2431	1415
632	2434	1411
633	2438	1407
634	2442	1403
635	2446	1400
636	2450	1396
637	2454	1392
638	2458	1388
639	2462	1384
640	2465	1381
641	2469	1377
642	2473	1373
643	2477	1369
644	2481	1365
645	2485	1361
646	2488	1357
647	2492	1353
648	2496	1349
649	2499	1346
650	2503	1342
651	2507	1338
652	2510	1334
653	2514	1330
654	2519	1326
655	2522	1322
656	2526	1318
657	2530	1315
658	2534	1311
659	2537	1307
660	2541	1303
661	2545	1299
662	2549	1296
663	2553	1292
664	2557	1288
665	2562	1284
666	2566	1281
667	2569	1277
668	2573	1273
669	2577	1269
670	2581	1265
671	2584	1261
672	2588	1257
673	2592	1253
674	2596	1249
675	2599	1246
676	2603	1242
677	2607	1238
678	2611	1234
679	2614	1230
680	2618	1226
681	2622	1222
682	2625	1218
683	2629	1214
684	2633	1210
685	2636	1207
686	2641	1203
687	2644	1199
688	2648	1195
689	2653	1191
690	2656	1188
691	2660	1184
692	2664	1180
693	2668	1176
694	2671	1172
695	2675	1168
696	2679	1164
697	2683	1160
698	2686	1156
699	2690	1153
700	2694	1149
701	2697	1145
702	2701	1141
703	2705	1137
704	2709	1133
705	2713	1129
706	2717	1126
707	2721	1122
708	2725	1118
709	2728	1114
710	2732	1110
711	2736	1106
712	2740	1102
713	2743	1099
714	2747	1095
715	2751	1091
716	2755	1087
717	2758	1083
718	2762	1079
719	2766	1075
720	2770	1071
721	2773	1068
722	2777	1064
723	2781	1060
724	2785	1056
725	2788	1052
726	2792	1048
727	2796	1044
728	2800	1041
729	2804	1037
730	2808	1033
731	2811	1029
732	2816	1025
733	2820	1022
734	2824	1018
735	2828	1014
736	2832	1010
737	2835	1006
738	2839	1002
739	2843	999
740	2847	995
741	2850	991
742	2854	987
743	2858	983
744	2862	979
745	2866	975
746	2870	972
747	2874	968
748	2877	964
749	2881	960
750	2885	956
751	2889	952
752	2893	949
753	2897	945
754	2901	941
755	2905	937
756	2908	933
757	2912	929
758	2916	925
759	2919	922
760	2923	918
761	2927	914
762	2931	910
763	2934	906
764	2938	902
765	2942	898
766	2946	895
767	2950	891
768	2953	887
769	2957	883
770	2961	879
771	2965	875
772	2968	871
773	2972	867
774	2976	864
775	2980	860
776	2983	856
777	2987	852
778	2991	848
779	2994	844
780	2998	840
781	3002	836
782	3006	833
783	3010	829
784	3013	825
785	3018	821
786	3021	817
787	3025	813
788	3028	809
789	3032	806
790	3036	802
791	3040	798
792	3044	794
793	3048	790
794	3051	786
795	3055	783
796	3059	779
797	3063	775
798	3067	771
799	3070	767
800	3074	763
801	3078	760
802	3082	756
